2024-05-09 19:39:15.220 [restartedMain] INFO  t.g.GestorRestauranteApplication.logStarting - Starting GestorRestauranteApplication using Java 21.0.2 with PID 3868 (C:\Users\ACR\Desktop\TFC\AARON\SPRINGBOOT\gestorRestaurante\target\classes started by ACR in C:\Users\ACR\Desktop\TFC\AARON\SPRINGBOOT\gestorRestaurante)
2024-05-09 19:39:15.233 [restartedMain] INFO  t.g.GestorRestauranteApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
2024-05-09 19:39:15.292 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor.logTo - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-05-09 19:39:15.293 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor.logTo - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-05-09 19:39:16.866 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-05-09 19:39:16.984 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Finished Spring Data repository scanning in 103 ms. Found 5 JPA repository interfaces.
2024-05-09 19:39:17.949 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer.initialize - Tomcat initialized with port 8080 (http)
2024-05-09 19:39:17.970 [restartedMain] INFO  o.a.catalina.core.StandardService.log - Starting service [Tomcat]
2024-05-09 19:39:17.971 [restartedMain] INFO  o.a.catalina.core.StandardEngine.log - Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-05-09 19:39:18.058 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring embedded WebApplicationContext
2024-05-09 19:39:18.059 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext.prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 2765 ms
2024-05-09 19:39:18.239 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration.openEntityManagerInViewInterceptor - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-05-09 19:39:18.386 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper.logPersistenceUnitInformation - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-05-09 19:39:18.485 [restartedMain] INFO  org.hibernate.Version.logVersion - HHH000412: Hibernate ORM core version 6.4.4.Final
2024-05-09 19:39:18.535 [restartedMain] INFO  o.h.c.i.RegionFactoryInitiator.initiateService - HHH000026: Second-level cache disabled
2024-05-09 19:39:18.935 [restartedMain] INFO  o.s.o.j.p.SpringPersistenceUnitInfo.addTransformer - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-05-09 19:39:18.985 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource.getConnection - HikariPool-1 - Starting...
2024-05-09 19:39:19.148 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool.checkFailFast - HikariPool-1 - Added connection org.mariadb.jdbc.Connection@18d95aed
2024-05-09 19:39:19.152 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource.getConnection - HikariPool-1 - Start completed.
2024-05-09 19:39:20.574 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator.initiateService - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-05-09 19:39:20.709 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean.buildNativeEntityManagerFactory - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-05-09 19:39:21.592 [restartedMain] INFO  o.s.d.j.r.query.QueryEnhancerFactory.<clinit> - Hibernate is in classpath; If applicable, HQL parser will be used.
2024-05-09 19:39:23.179 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain.<init> - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@743dc4e6, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6262daac, org.springframework.security.web.context.SecurityContextHolderFilter@45033dd, org.springframework.security.web.header.HeaderWriterFilter@79481316, org.springframework.security.web.authentication.logout.LogoutFilter@d87bc28, tfc.gestorRestaurante.security.JwtAuthenticationFilter@2ef23c71, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@19e15810, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@497d6a5b, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6a25035f, org.springframework.security.web.session.SessionManagementFilter@ce2e7d2, org.springframework.security.web.access.ExceptionTranslationFilter@1affbc68, org.springframework.security.web.access.intercept.AuthorizationFilter@1d017914]
2024-05-09 19:39:23.764 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer.startServer - LiveReload server is running on port 35729
2024-05-09 19:39:23.838 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer.start - Tomcat started on port 8080 (http) with context path ''
2024-05-09 19:39:23.852 [restartedMain] INFO  t.g.GestorRestauranteApplication.logStarted - Started GestorRestauranteApplication in 9.868 seconds (process running for 11.677)
